smiles,c_t,c_t_cea,isp,isp_cea,cstar,cstar_cea,Al,EMs,HTPB,NH4CLO4
Nc1nnnn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3316.9792,3336.4,267.42133,267.41080530071355,1609.9958,1606.3,16.55599048,23.93459095,12.00000627,47.5094123
Nc1nc(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])no1,3309.9685,3333.7,267.39807,267.51274209989805,1607.9979,1605.6,16.81516673,24.11213185,12.00000367,47.07269774
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3259.1282,3268.9,267.3708,267.1967380224261,1613.0035,1606.4,16.61676333,26.68637709,12.00003476,44.69682482
O=[N+]([O-])c1nc(/N=N/c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,3560.597,3565.6,267.36212,267.9102956167176,1612.9777,1610.5,15.26216197,39.99963189,12.00003665,32.73816949
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3511.2837,3509.5,267.34613,267.37003058103977,1605.8324,1606.7,16.59357801,39.98199602,12.00014487,31.42428109
O=[N+]([O-])c1c[nH]nc1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3398.077,3430.6,267.33496,267.3598369011213,1607.0521,1605.3,16.22758681,31.57147142,12.00003491,40.20090687
C/N=[N+](\[O-])c1nonc1N[N+](=O)[O-],3309.0105,3305.4,267.32837,267.1763506625892,1612.1935,1603.9,16.71176829,19.32880935,12.00002595,51.95939641
O=[N+]([O-])Nc1nonc1/[N+]([O-])=N\c1nonc1/N=N\c1nonc1/N=[N+](/[O-])c1nonc1N[N+](=O)[O-],3391.1106,3400,267.30463,267.4413863404689,1607.7181,1604.2,16.44676529,19.36335848,12.00000595,52.18987029
N#Cc1c([N+](=O)[O-])no[n+]1[O-],3408.915,3437.2,267.29,267.1763506625892,1602.9052,1601.5,16.74777833,20.15140827,12.00005816,51.10075523
c1nnnn1/N=N/n1cnnn1,3281.4639,3307,267.27185,267.1865443425076,1609.4402,1607.4,15.40398323,14.02297284,12.00004563,58.57299831
O=[N+]([O-])Nc1nc(-c2c(/N=N/c3no[n+]([O-])c3-c3noc(N[N+](=O)[O-])n3)no[n+]2[O-])no1,3371.1516,3396.7,267.25067,267.0744138634047,1605.0272,1601.3,16.71811801,19.06152877,12.00000353,52.22034968
Nc1c([N+](=O)[O-])c2nnnn2c2no[n+]([O-])c12,3304.7778,3346.5,267.2173,267.0540265035678,1605.3558,1603.3,16.18866034,15.47133372,12.00000568,56.34000025
